Component ID,Component,Failure Mode,Cause,Effect,Maintenance Strategy,Severity,Occurrence,Detection,RPN,Cluster
FM1,Gearbox,Gearbox oil leakage,Seal ring damage or unqualified assembly,Reduce the life of worm gear transmission,Visual inspection,7.0,4.0,6.0,168,2
FM2,Hydraulic cylinder,Hydraulic cylinder leakage,Seal ring damage,Hydraulic system failure,Regular maintenance,9.0,3.0,4.0,108,2
FM3,Bearing,Insufficient bearing lubrication,Lubrication pipe blockage or insufficient lubricating oil,Bearing temperature rise,Regular maintenance,6.0,5.0,3.0,90,1
FM4,Hydraulic system,Insufficient clamping force,Hydraulic pipe blockage or leakage,Workpiece loose or falling off,Regular inspection,6.0,4.0,5.0,120,1
FM5,Gear,Gear wear,Insufficient lubrication,Vibration increase,Regular inspection,5.0,4.0,4.0,80,1
FM6,Gear,Insufficient gear lubrication,Lubrication pipe blockage,Gear wear or vibration increase,Regular maintenance,5.0,5.0,4.0,100,1
FM7,Motor,Excessively high motor temperature,Bearing damage or motor fan damage,Motor damage,CNC system alarm,9.0,3.0,2.0,54,2
FM8,Transmission system,Workpiece axis accuracy decreased,Transmission system failure,Reduce machining accuracy,Regular inspection,8.0,4.0,3.0,96,2
FM9,Cutting fluid system,Insufficient cutting fluid flow,Pump damage or insufficient cutting fluid,Temperature rise in machining area,CNC system alarm,7.0,5.0,3.0,105,2
FM10,Bearing,Bearing wear,Insufficient lubrication or impurities in the bearing,Reduce machining accuracy,Regular inspection,6.0,4.0,4.0,96,1
FM11,Fuselage (wing fuel tank relief valve),Light does not shine when refueling,"Internal circuit failure, Relief vent does not light",Local influence,Replacement parts,4.0,2.0,3.0,24,1
FM12,Fuel electric switch,Electric switch indicator rod junction leakage oil,Sealing gasket aging,Affects performance,Replacement parts,5.0,3.0,2.0,30,1
FM13,Fuel gauge,Swing. Jitter. in the instruction swing,Oil indicator internal bridge fault,Damages system functionality,Replacement parts,4.0,3.0,3.0,36,1
FM14,Switch,Indication abnormal in the conversion switch set to left wing,Internal mechanical failure,Affects performance,Replacement parts,4.0,3.0,2.0,24,1
FM15,Gas turbine starter,Function failure when not turning the engine on starting,Starter low efficiency,Function failure,Replacement parts,9.0,2.0,1.0,18,2
FM16,Fuel level controller,Lights are not bright when refueling,Fuel oil controller damage,Local influence,Replacement parts,3.0,4.0,5.0,60,1
FM17,Cylinder assembly,Air leakage from cylinder assembly,Inadequate stroke of pusher cylinder,O-ring failure,Replace or repair O-rings,4.0,4.0,5.0,80,1
FM19,Pusher assembly,Over travel in cylinder arm,Bad control,Dents on bottles,Adjust control parameters,2.0,3.0,1.0,6,1
FM26,Pusher assembly,Damaged rod seals,Excessive side loading,Contaminates entering pusher cylinder between shaft and cylinder,Enhance inspection protocols,5.0,4.0,6.0,120,1
FM29,Pusher assembly,Aeration,Air drawn past rod seals during actuation,Damaged actuator and loss of seals,Improve air seal design,5.0,3.0,5.0,75,1
FM31,Shaft,Bush loose on shaft,Vibration,Loose coupling,Check and secure bushings,5.0,6.0,6.0,180,4
FM32,Shaft,Damaged set screw of bushing,Overtightening,Bushing failure,Regular torque checks,5.0,6.0,6.0,180,4
FM33,Machine base,Plate surface uneven,Manufacturing error,Leakage,Ensure manufacturing quality,7.0,3.0,6.0,126,2
FM34,Pusher assembly,Loose pusher finger,Excessive temperature,Wares un-transferable,Regular temperature checks and component inspections,5.0,8.0,3.0,120,4
FM35,Valve System,Valve Sticking,Mineral deposits,Reduced fluid flow,Regular cleaning and inspection,4.0,5.0,3.0,60,1
FM36,Electrical System,Wire Insulation Breakdown,Heat and aging,Short circuit,Regular insulation testing,6.0,4.0,5.0,120,1
FM37,Cooling System,Radiator Leak,Corrosion or physical damage,Overheating of system,Regular inspection and replacement,5.0,3.0,4.0,60,1
FM38,Control System,Software Glitch,Software aging or bugs,System shutdown,Regular software updates,7.0,3.0,5.0,105,2
FM39,Pump System,Impeller Wear,Normal wear and tear,Reduced pump efficiency,Regular replacement,4.0,6.0,4.0,96,4
FM40,Conveyor Belt,Tearing of belt,Overloading or poor maintenance,Disruption in material handling,Regular load checks and maintenance,5.0,4.0,4.0,80,1
FM41,Hydraulic Arm,Cylinder Misalignment,Poor installation or wear,Inaccurate arm movement,Realignment and regular checks,6.0,5.0,5.0,150,1
FM42,Battery System,Battery Failure,Overcharging or deep discharge,Power loss,Regular voltage and load testing,6.0,4.0,3.0,72,1
FM43,LED Display,LED Flickering,Faulty LEDs or power supply,Reduced visibility,Regular check and replace faulty LEDs,3.0,4.0,5.0,60,1
FM44,Fire Suppression System,Nozzle Clogging,Accumulation of dirt,Ineffective fire suppression,Clean and inspect nozzles yearly,6.0,2.0,4.0,48,2
FM45,Air Conditioning,Loss of Coolant,Leak in the system,Failure to cool,Inspect and refill coolant,6.0,3.0,4.0,72,2
FM46,Sensor Array,Inaccurate Readings,Calibration drift,Incorrect data,Calibrate bi-annually,5.0,5.0,5.0,125,1
FM47,Power Supply,Overheating,Inadequate ventilation,Shutdown of equipment,Improve ventilation,6.0,4.0,3.0,72,1
FM48,Transmission Gears,Gear Slippage,Inadequate lubrication,Reduced transmission efficiency,Check and refill oil,7.0,4.0,3.0,84,2
FM49,Security System,Camera Blind Spots,Improper installation,Inadequate surveillance coverage,Reposition cameras,4.0,2.0,5.0,40,1
FM50,Solar Panel,Decreased Output,Accumulation of dirt and debris,Lower power generation,Clean panels quarterly,3.0,5.0,4.0,60,1
FM51,Water Pump,Cavitation,High velocity operation or low pressure,Damage to pump components,Operate within recommended speeds,8.0,4.0,3.0,96,2
FM52,Gas Detector,Sensor Failure,Exposure to extreme conditions,Failed hazard detection,Regular replacement and testing,9.0,3.0,2.0,54,2
FM53,Server Hardware,System Crash,Overloading,Data loss,Upgrade infrastructure and balance load,8.0,3.0,1.0,24,2
FM54,Drone,Rotor Damage,Impact with objects,Flight instability,Inspect and replace rotors,7.0,4.0,5.0,140,2
FM55,Paint Line,Drip and Sag,Incorrect application temperatures,Quality defects in finish,Monitor and adjust environment,5.0,6.0,3.0,90,4
FM56,Vacuum System,Seal Deterioration,Material aging,Air leakage,Maintain and replace seals,4.0,5.0,4.0,80,1
FM57,Pressure Vessel,Corrosion Damage,Chemical exposure,Leak or burst,Regular coating and inspection,9.0,3.0,3.0,81,2
FM58,Assembly Line,Robot Misalignment,Wear and tear,Product defects,Regular recalibration,6.0,4.0,4.0,96,1
FM59,Insulation Material,Degradation,Environmental exposure,Reduced insulation property,Inspect and replace,5.0,4.0,4.0,80,1
FM60,Navigation System,GPS Signal Loss,Signal interference,Navigation error,Regular system tests,4.0,4.0,5.0,80,1
FM62,Piston Ring,Drop of the ring from the piston; Seizure of the piston-ring,Touching piston rings with bare hands; Dirt and moisture; Greasing of the ring,Workstation and process control; Control of the alphining alloy,4,3.0,3.0,36.0,,1
FM63,Piston,Poor properties of the piston; Limited operating time,No or poor melting loss removal; Bad quality of crucibles,Control during every gas refining process; Workstation control,5,4.0,4.0,80.0,,1
FM64,Piston Ring,Bad alignment of the ring; No connection with the piston; Seizure of the ring,Incorrect casting method; Mechanical working carried out incorrectly; Negligent alphining process,Control of the process; Quality control of the metal moulds and the ladle,5,3.0,3.0,45.0,,1
